Run,Pod Count,Workflow,Scheduler,Start Time,End Time,Duration(sec),Duration(human),Duration(min)
synthetic-soykb-500-fplqw,496,Soykb,random-fair,1768503622,1768504480,858,14m 18s,14.3
synthetic-soykb-500-mrbch,496,Soykb,random-fair,1768505454,1768506274,820,13m 40s,13.666666666666666
synthetic-soykb-500-pl256,496,Soykb,random-fair,1768502675,1768503557,882,14m 42s,14.7
synthetic-soykb-500-xtbhp,496,Soykb,random-fair,1768506337,1768507253,916,15m 16s,15.266666666666667
synthetic-soykb-500-9xlmb,496,Soykb,random-random,1768443393,1768444242,849,14m 9s,14.15
synthetic-soykb-500-cmkb2,496,Soykb,random-random,1768447054,1768447866,812,13m 32s,13.533333333333333
synthetic-soykb-500-dth7n,496,Soykb,random-random,1768445223,1768446072,849,14m 9s,14.15
synthetic-soykb-500-pltzd,496,Soykb,random-random,1768444298,1768445174,876,14m 36s,14.6
synthetic-soykb-500-xvnpn,496,Soykb,random-random,1768446129,1768446998,869,14m 29s,14.483333333333333
synthetic-soykb-500-4xqhf,496,Soykb,random-roundrobin,1768468487,1768469378,891,14m 51s,14.85
synthetic-soykb-500-b66cg,496,Soykb,random-roundrobin,1768470377,1768471272,895,14m 55s,14.916666666666666
synthetic-soykb-500-hljr9,496,Soykb,random-roundrobin,1768469434,1768470319,885,14m 45s,14.75
synthetic-soykb-500-mg2mk,496,Soykb,random-roundrobin,1768472291,1768473235,944,15m 44s,15.733333333333333
synthetic-soykb-500-rh778,496,Soykb,random-roundrobin,1768471324,1768472231,907,15m 7s,15.116666666666667
